"['6/10', '5/2', '9/2']"
"['4/1', '11/20', '7/2']"
"['1/8', '7/1', '22/1']"
"['5/1', '16/5', '8/15']"
"['1/20', '12/1', '28/1']"
"['4/6', '13/5', '9/2']"
"['11/20', '3/1', '5/1']"
"['5/1', '4/1', '4/9']"
"['8/1', '4/1', '2/7']"
"['2/11', '5/1', '12/1']"
"['1/8', '13/2', '16/1']"
"['20/1', '7/1', '1/12']"
"['8/13', '11/4', '4/1']"
"['4/6', '5/2', '7/2']"
"['17/10', '21/10', '8/5']"
"['20/1', '9/1', '1/16']"
"['13/10', '21/10', '21/10']"
"['7/5', '12/5', '8/5']"
"['11/1', '5/1', '1/5']"
"['13/8', '6/4', '15/8']"
"['5/4', '15/8', '12/5']"
"['11/8', '2/1', '2/1']"
"['13/10', '21/10', '2/1']"
"['1/5', '24/5', '14/1']"
"['4/1', '11/5', '3/4']"
"['18/1', '7/1', '1/10']"
"['1/500', '45/1', '55/1']"
"['6/5', '8/5', '16/5']"
"['7/5', '9/5', '11/5']"
"['7/1', '3/1', '2/5']"
"['5/1', '16/5', '4/9']"
"['23/20', '9/4', '9/4']"
"['11/8', '15/8', '21/10']"
"['9/5', '2/1', '6/4']"
"['19/10', '21/10', '11/8']"
"['19/20', '21/10', '3/1']"
"['9/4', '15/8', '5/4']"
"['23/10', '7/4', '13/10']"
"['11/20', '5/2', '5/1']"
"['1/2', '11/4', '5/1']"
"['10/11', '11/5', '14/5']"
"['4/6', '23/10', '4/1']"
"['15/8', '19/10', '29/20']"
"['23/10', '2/1', '23/20']"
"['7/10', '11/5', '4/1']"
"['EVS', '2/1', '14/5']"
"['10/11', '11/5', '14/5']"
"['19/10', '2/1', '11/8']"
"['23/10', '2/1', '23/20']"
"['11/10', '2/1', '12/5']"
"['7/10', '11/5', '4/1']"
"['EVS', '2/1', '11/4']"
"['13/20', '9/4', '24/5']"
"['1/1000', '50/1', '55/1']"
"['7/5', '8/5', '12/5']"
"['18/5', '19/10', '10/11']"
"['5/2', '13/8', '7/5']"
"['13/8', '8/5', '11/5']"
"['7/5', '2/1', '21/10']"
"['13/8', '17/10', '2/1']"
"['4/6', '5/2', '4/1']"
"['4/9', '16/5', '9/2']"
"['7/2', '12/5', '4/6']"
"['EVS', '9/4', '23/10']"
"['EVS', '9/4', '23/10']"
"['5/2', '23/10', '10/11']"
"['7/2', '11/4', '6/10']"
"['13/8', '2/1', '6/4']"
"['4/5', '12/5', '11/4']"
"['6/10', '11/4', '7/2']"
"['8/13', '11/4', '10/3']"
"['6/10', '11/4', '7/2']"
"['1/5', '9/2', '15/2']"
"['4/5', '9/4', '3/1']"
"['12/5', '3/4', '7/2']"
"['1/6', '11/2', '10/1']"
"['2/5', '7/2', '11/2']"
"['1/10', '6/1', '25/1']"
"['13/8', '5/2', '5/4']"
"['EVS', '13/5', '2/1']"
