"['EVS', '12/5', '14/5']"
"['29/20', '12/5', '9/5']"
"['17/20', '5/2', '10/3']"
"['EVS', '12/5', '12/5']"
"['4/6', '13/5', '4/1']"
"['4/9', '3/1', '6/1']"
"['17/20', '5/2', '3/1']"
"['29/20', '5/2', '8/5']"
"['4/7', '14/5', '9/2']"
"['10/3', '5/2', '3/4']"
"['8/5', '15/8', '9/5']"
"['13/10', '21/10', '2/1']"
"['9/5', '23/10', '11/8']"
"['13/10', '5/2', '9/5']"
"['1/2', '16/5', '9/2']"
"['7/5', '23/10', '17/10']"
"['1/3', '4/1', '6/1']"
"['8/11', '14/5', '3/1']"
"['1/4', '19/5', '11/1']"
"['4/7', '14/5', '9/2']"
"['11/10', '15/8', '14/5']"
"['9/5', '5/2', '13/10']"
"['23/20', '23/10', '11/5']"
"['6/5', '9/4', '2/1']"
"['11/10', '9/4', '9/4']"
"['4/7', '3/1', '19/5']"
"['10/11', '13/5', '23/10']"
"['EVS', '5/2', '23/10']"
"['11/10', '23/10', '23/10']"
"['7/10', '11/4', '16/5']"
"['23/20', '23/10', '21/10']"
