"['13/10', '21/10', '2/1']"
"['9/4', '5/2', '23/20']"
"['23/20', '12/5', '23/10']"
"['8/15', '7/2', '4/1']"
"['4/11', '9/2', '6/1']"
"['6/10', '16/5', '4/1']"
"['12/1', '11/2', '1/5']"
"['14/1', '6/1', '2/11']"
"['7/2', '11/4', '3/4']"
"['4/1', '10/3', '1/2']"
"['7/10', '14/5', '16/5']"
