Leicester   v   West Brom
Las Palmas   v   Celta Vigo
Verona   v   Benevento
LA Galaxy   v   Minnesota
Kansas City   v   Houston
Portland   v   DC United
Seattle   v   Dallas
Colorado   v   Salt Lake
Vancouver   v   San Jose
Patronato   v   Boca Juniors
Olimpio Bahia Blanca   v   Huracan
Arsenal FC   v   San Martin de San Juan
Virtus Entella   v   Empoli
Darmstadt   v   Nurnberg
Lorient   v   Niort
Bursaspor   v   Osmanlispor
Jong Ajax   v   Almere
Jong AZ Alkmaar   v   Helmond Sport
Panathinaikos   v   Larissa
Sarpsborg 08   v   Stabaek
Amkar   v   Tosno
Norrkoping   v   Malmo
Kalmar   v   Hammarby
O'Higgins   v   Audax Italiano
Santos Laguna   v   Atlas
Septemvri Sofia   v   Vitosha
Botev Plovdiv   v   Vereya
Union St Gilloise   v   Lierse
AGF Aarhus   v   Lyngby
Helsingborg   v   Varnamo
Orgryte   v   Gefle
