Leicester   v   West Brom
Las Palmas   v   Celta Vigo
Verona   v   Benevento
LA Galaxy   v   Minnesota
Kansas City   v   Houston
Vancouver   v   San Jose
Portland   v   DC United
Colorado   v   Salt Lake
Seattle   v   Dallas
Patronato   v   Boca Juniors
Olimpio Bahia Blanca   v   Huracan
Arsenal FC   v   San Martin de San Juan
Virtus Entella   v   Empoli
Darmstadt   v   Nurnberg
Lorient   v   Niort
Bursaspor   v   Osmanlispor
Manisaspor   v   Denizlispor
Jong Ajax   v   Almere
Jong AZ Alkmaar   v   Helmond Sport
Panathinaikos   v   Larissa
Sarpsborg 08   v   Stabaek
Amkar   v   Tosno
Norrkoping   v   Malmo
Kalmar   v   Hammarby
O'Higgins   v   Audax Italiano
Santos Laguna   v   Atlas
Piacenza   v   Viterbese
Septemvri Sofia   v   Vitosha
Botev Plovdiv   v   Vereya
Union St Gilloise   v   Lierse
