West Ham   v   Chelsea
Swansea   v   West Brom
Burnley   v   Watford
Crystal Palace   v   Bournemouth
Huddersfield   v   Brighton
Tottenham   v   Stoke
Newcastle   v   Leicester
Burton   v   Preston
Hull   v   Brentford
Middlesbrough   v   Ipswich
Wolves   v   Sunderland
Fulham   v   Birmingham
QPR   v   Leeds
Nottingham Forest   v   Bolton
Barnsley   v   Derby
Aston Villa   v   Millwall
Norwich   v   Sheff Wed
Getafe   v   Eibar
Real Madrid   v   Sevilla
Deportivo La Coruna   v   Leganes
Valencia   v   Celta Vigo
Cagliari   v   Sampdoria
Juventus   v   Inter Milan
Aves   v   Tondela
Benfica   v   Estoril
Boavista   v   Sporting Lisbon
Dortmund   v   Werder Bremen
Eintracht Frankfurt   v   Bayern Munich
Leipzig   v   Mainz
Hamburg   v   Wolfsburg
M'gladbach   v   Schalke
Paris Saint-Germain   v   Lille
Guingamp   v   Dijon
Monaco   v   Troyes
Toulouse   v   Caen
Angers   v   Montpellier
Metz   v   Rennes
Peterborough   v   Blackburn
Bury   v   Wimbledon
Wigan   v   Fleetwood
Charlton   v   Portsmouth
Oldham   v   Northampton
Blackpool   v   Rotherham
Bradford   v   Rochdale
Walsall   v   Scunthorpe
Plymouth   v   Gillingham
Bristol Rovers   v   Southend
Oxford   v   Doncaster
MK Dons   v   Shrewsbury
Inverness   v   Falkirk
Dumbarton   v   Livingston
Morton   v   Dundee Utd
Dunfermline   v   Queen of the South
Brechin   v   St Mirren
Newport   v   Carlisle
Yeovil   v   Lincoln
Accrington   v   Swindon
Colchester   v   Exeter
Stevenage   v   Wycombe
Port Vale   v   Cambridge
Grimsby   v   Forest Green
Chesterfield   v   Barnet
Luton   v   Notts County
Crawley   v   Mansfield
Cheltenham   v   Crewe
Morecambe   v   Coventry
Hamilton   v   St Johnstone
Rangers   v   Ross County
Hearts   v   Motherwell
Kilmarnock   v   Partick
Ayr   v   Queen's Park
Forfar   v   Alloa
Albion   v   Arbroath
East Fife   v   Stranraer
Elgin   v   Edinburgh
Peterhead   v   Clyde
Stenhousemuir   v   Annan
Montrose   v   Berwick
Stirling   v   Cowdenbeath
Macclesfield   v   Wrexham
Barrow   v   Dag and Red
Tranmere   v   Torquay
Chester   v   Solihull
Leyton Orient   v   Sutton
Aldershot   v   Halifax
Maidenhead   v   Maidstone
Gateshead   v   Woking
Dover   v   Hartlepool
Eastleigh   v   Bromley
Ebbsfleet   v   Guiseley
Boreham Wood   v   Fylde
Heerenveen   v   VVV Venlo
AZ Alkmaar   v   Heracles
Excelsior   v   PEC Zwolle
Twente   v   ADO Den Haag
Pachuca   v   Wydad Casablanca
Belgrano   v   Huracan
Banfield   v   Argentinos Juniors
Rosario   v   Newells
Arsenal FC   v   Independiente
Brisbane Roar   v   Wellington Phoenix
Western Sydney   v   Sydney FC
Perth Glory   v   Newcastle Jets
Toronto   v   Seattle
Albacete   v   Valladolid
Alcorcon   v   Huesca
Numancia   v   Lorca
Real Zaragoza   v   Cadiz
