Huddersfield   v   Tottenham
Bournemouth   v   Leicester
Man Utd   v   Crystal Palace
Stoke   v   Southampton
West Brom   v   Watford
West Ham   v   Swansea
Chelsea   v   Man City
Aston Villa   v   Bolton
Millwall   v   Barnsley
Hull   v   Birmingham
Ipswich   v   Bristol City
Middlesbrough   v   Brentford
Cardiff   v   Derby
Preston   v   Sunderland
Nottingham Forest   v   Sheff Utd
Burton   v   Wolves
Reading   v   Norwich
Shrewsbury   v   Scunthorpe
Bristol Rovers   v   Plymouth
Southend   v   Blackpool
Fleetwood   v   Charlton
Rotherham   v   Northampton
Bury   v   MK Dons
Portsmouth   v   Oldham
Bradford   v   Doncaster
Wigan   v   Walsall
Wimbledon   v   Rochdale
Blackburn   v   Gillingham
Peterborough   v   Oxford
Grimsby   v   Lincoln
Mansfield   v   Notts County
Yeovil   v   Colchester
Forest Green   v   Accrington
Wycombe   v   Barnet
Crawley   v   Carlisle
Exeter   v   Morecambe
Swindon   v   Cambridge
Coventry   v   Crewe
Stevenage   v   Port Vale
Chesterfield   v   Cheltenham
Luton   v   Newport
Motherwell   v   Partick
Aberdeen   v   St Johnstone
Kilmarnock   v   Ross County
Dundee   v   Hearts
Celtic   v   Hibernian
Deportivo La Coruna   v   Getafe
Sevilla   v   Malaga
Levante   v   Alaves
Leganes   v   Atletico Madrid
Eintracht Frankfurt   v   Stuttgart
M'gladbach   v   Hannover
Augsburg   v   Dortmund
Wolfsburg   v   Mainz
Hamburg   v   Werder Bremen
Paris Saint-Germain   v   Bordeaux
Nantes   v   Metz
Rennes   v   Caen
Dijon   v   Strasbourg
Amiens   v   Lille
Guingamp   v   Toulouse
Udinese   v   Sampdoria
Genoa   v   Bologna
Portimonense   v   Aves
Pacos Ferreira   v   Moreirense
Boavista   v   Feirense
Rio Ave   v   Vitoria Setubal
NAC Breda   v   ADO Den Haag
PEC Zwolle   v   Groningen
PSV Eindhoven   v   Willem II
Excelsior   v   VVV Venlo
Morton   v   Falkirk
Dunfermline   v   Dundee Utd
Inverness   v   Queen of the South
Livingston   v   Dumbarton
St Mirren   v   Brechin
Albion   v   Raith Rovers
Airdrie   v   Queen's Park
Ayr   v   East Fife
Arbroath   v   Alloa
Forfar   v   Stranraer
Peterhead   v   Berwick
Stirling   v   Elgin
Annan   v   Cowdenbeath
Stenhousemuir   v   Edinburgh
Montrose   v   Clyde
Orlando   v   Dallas
Toronto   v   New York Red Bulls
Columbus   v   DC United
New England   v   Atlanta
Chicago   v   New York City
Houston   v   Minnesota
Colorado   v   Montreal
Kansas City   v   Vancouver
San Jose   v   Portland
LA Galaxy   v   Salt Lake
Atl. Tucuman   v   Belgrano
San Lorenzo   v   Colon
Temperley   v   Estudiantes
Gimnasia La Plata   v   Lanus
Argentinos Juniors   v   Racing Club (Arg)
Bahia   v   Coritiba
Vasco da Gama (Bra)   v   Chapecoense
Palmeiras   v   Santos
Wrexham   v   Sutton
Leyton Orient   v   Fylde
Dag and Red   v   Torquay
Woking   v   Hartlepool
Ebbsfleet   v   Halifax
Bromley   v   Tranmere
Macclesfield   v   Aldershot
Dover   v   Solihull
Gateshead   v   Boreham Wood
Maidenhead   v   Guiseley
Barrow   v   Maidstone
Eastleigh   v   Chester
Valladolid   v   Cordoba
Numancia   v   Albacete
Lorca   v   Cadiz
Uniao Madeira   v   Penafiel
Braga B   v   Nacional (Por)
Varzim   v   Oliveirense
Gil Vicente   v   Guimaraes B
Cova da Piedade   v   Leixoes
Sport. Lisbon B   v   Santa Clara
Covilha   v   Arouca
Viseu   v   Porto B
Academica   v   Benfica B
Real Sport   v   Famalicao
