Liverpool   v   Man Utd
Crystal Palace   v   Chelsea
Man City   v   Stoke
Burnley   v   West Ham
Swansea   v   Huddersfield
Tottenham   v   Bournemouth
Watford   v   Arsenal
Bolton   v   Sheff Wed
Norwich   v   Hull
Sunderland   v   QPR
Barnsley   v   Middlesbrough
Leeds   v   Reading
Fulham   v   Preston
Brentford   v   Millwall
Sheff Utd   v   Ipswich
Wolves   v   Aston Villa
Charlton   v   Doncaster
Walsall   v   Blackpool
Oldham   v   Blackburn
Bristol Rovers   v   Oxford
Plymouth   v   Shrewsbury
Bury   v   Bradford
Fleetwood   v   Rochdale
Rotherham   v   Scunthorpe
Peterborough   v   Gillingham
Wigan   v   Southend
Portsmouth   v   MK Dons
Northampton   v   Wimbledon
Grimsby   v   Crawley
Lincoln   v   Cambridge
Chesterfield   v   Morecambe
Luton   v   Stevenage
Colchester   v   Carlisle
Port Vale   v   Cheltenham
Mansfield   v   Swindon
Yeovil   v   Crewe
Accrington   v   Coventry
Notts County   v   Barnet
Forest Green   v   Newport
Wycombe   v   Exeter
Celtic   v   Dundee
Partick   v   Kilmarnock
Hibernian   v   Aberdeen
Hamilton   v   Motherwell
Ross County   v   Hearts
Athletic Bilbao   v   Sevilla
Getafe   v   Real Madrid
Alaves   v   Real Sociedad
Atletico Madrid   v   Barcelona
Hertha Berlin   v   Schalke
Hannover   v   Eintracht Frankfurt
Bayern Munich   v   Freiburg
Mainz   v   Hamburg
Hoffenheim   v   Augsburg
Dortmund   v   Leipzig
Dijon   v   Paris Saint-Germain
St Etienne   v   Metz
Caen   v   Angers
Guingamp   v   Rennes
Lille   v   Troyes
Toulouse   v   Amiens
Juventus   v   Lazio
Roma   v   Napoli
Ajax   v   Sparta Rotterdam
Roda JC   v   NAC Breda
Feyenoord   v   PEC Zwolle
Utrecht   v   Heerenveen
Falkirk   v   Inverness
Brechin   v   Morton
Queen of the South   v   Dunfermline
Livingston   v   Dundee Utd
Dumbarton   v   St Mirren
Ayr   v   Airdrie
Queen's Park   v   Forfar
Stranraer   v   Alloa
East Fife   v   Albion
Raith Rovers   v   Arbroath
San Lorenzo   v   Defensa y Justicia
Colon   v   Temperley
Rosario   v   Argentinos Juniors
Estudiantes   v   Banfield
Velez   v   Newells
Racing Club (Arg)   v   Tigre
Western Sydney   v   Central Coast
Melbourne Victory   v   Melbourne City
Tianjin Quanjian   v   Shandong Luneng
Liaoning Whowin   v   Shanghai East Asia
Hebei CFFC   v   Jiangsu Suning
Civil Serv Strol   v   Brora Rangers
Banks o'Dee   v   Selkirk
Formartine   v   East Stirling
Buckie Thistle   v   BSC Glasgow
Nairn   v   Cove Rangers
Berwick   v   Annan
Stirling   v   Lothian
Edinburgh Univ   v   Fraserburgh
Spartans   v   Clachnacuddin
Edinburgh   v   Stenhousemuir
Peterhead   v   Colville Park AFC
Cowdenbeath   v   East Kilbride
Keith   v   Clyde
Deveronvale   v   Glenafton Athletic
Arminia Bielefeld   v   Fortuna Dusseldorf
Bochum   v   Sandhausen
Dynamo Dresden   v   Ingolstadt
Clermont Foot   v   Le Havre
Parma   v   Pescara
Pro Vercelli   v   Bari
Ascoli   v   Venezia
Brescia   v   Novara
Carpi   v   Cesena
Ternana   v   Spezia
Cittadella   v   Cremonese
Frosinone   v   Palermo
Karabukspor   v   Kayserispor
Istanbul Basaksehir   v   Alanyaspor
Antalyaspor   v   Goztepe
Konyaspor   v   Galatasaray
